Company;Year;pos;neg;unc;SR;NFE;ISIN;Date_SRNFE;Date_AR;report_size_SRNFE;report_sentence_SRNFE;report_words_SRNFE;is_gri;report_size_AR;report_sentence_AR;report_words_AR;pfad
man se_sr_;2016;231;153;85;1;0;DE000A0JQ5U3;2017-07-14;fehlt;77;2923;22978;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\MAN SE_SR_2016.pdf
man se_sr_;2017;185;112;67;1;0;DE000A0JQ5U3;2018-06-08;fehlt;62;2341;18622;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\MAN SE_SR_2017.pdf
man se_sr_;2018;219;116;76;1;0;DE000A0JQ5U3;2019-06-06;fehlt;71;2538;20720;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\MAN SE_SR_2018.pdf
merck kgaa_sr_;2008;243;176;121;1;0;DE0006599905;2009-07-17;fehlt;76;5112;25668;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Merck KGAA_SR_2008.pdf
merck kgaa_sr_;2010;198;168;103;1;0;DE0006599905;2011-04-04;fehlt;79;2517;25190;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Merck KGAA_SR_2010.pdf
metro ag_sr_;2017;34;50;29;1;0;DE000BFB0019;2017-12-12;fehlt;35;1494;7499;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Metro AG_SR_2017.pdf
metro ag_sr_;2018;223;205;124;1;0;DE000BFB0019;2018-12-17;fehlt;113;6084;34786;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Metro AG_SR_2018.pdf
mtu aero engines;2019;315;234;133;1;0;DE000A0D9PT0;2020-06-18;fehlt;170;3992;30940;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\MTU AERO ENGINES2019_SR.pdf
mtu aero engines_sr_;2015;214;107;62;1;0;DE000A0D9PT0;2016-07-27;fehlt;101;3713;22070;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\MTU Aero Engines_SR_2015.pdf
mtu aero engines_sr_;2017;295;167;89;1;0;DE000A0D9PT0;2018-06-28;fehlt;90;4543;26686;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\MTU Aero Engines_SR_2017.pdf
nemetschek ag_sr_;2018;38;35;18;1;0;DE0006452907;2019-04-01;fehlt;10;432;3621;0;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Nemetschek AG_SR_2018.pdf
norma group se_sr_;2013;247;195;106;1;0;DE000A1H8BV3;2014-11-17;fehlt;87;2300;22051;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Norma Group SE_SR_2013.pdf
norma group se_sr_;2015;224;164;92;1;0;DE000A1H8BV3;2016-07-26;fehlt;70;2859;22411;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Norma Group SE_SR_2015.pdf
norma group se_sr_;2018;274;153;144;1;0;DE000A1H8BV3;2019-03-19;fehlt;73;4023;27271;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Norma Group SE_SR_2018.pdf
prosiebensat.1 media se_sr_;2015;253;235;125;1;0;DE000PSM7770;2016-08-29;fehlt;130;5789;28305;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\ProsiebenSat.1 Media SE_SR_2015.pdf
prosiebensat.1 media se_sr_;2017;111;119;55;1;0;DE000PSM7770;2018-07-04;fehlt;65;3145;18488;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\ProsiebenSat.1 Media SE_SR_2017.pdf
puma ag_nfe_;2017;93;91;32;1;1;DE0006969603;2018-04-05;fehlt;19;2287;11589;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Puma AG_NFE_2017.pdf
puma ag_nfe_;2018;109;85;25;1;1;DE0006969603;2019-04-17;fehlt;26;1437;10557;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Puma AG_NFE_2018.pdf
puma ag_sr_;2008;350;327;140;1;0;DE0006969603;2010-05-19;fehlt;120;6343;43208;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Puma AG_SR_2008.pdf
r stahl;2020;128;58;44;1;1;DE000ZEAL241;2021-04-01;2020-05-13;20;2610;12214;1;20;251;2415;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\R Stahl2020_NFB.pdf
rheinmetall ag_sr_;2016;505;328;226;1;0;DE0007030009;2017-05-03;fehlt;81;14013;58148;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Rheinmetall AG_SR_2016.pdf
rocket internet se_nfe_;2017;33;58;34;1;1;fehlt;2018-04-20;fehlt;17;715;4101;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Rocket Internet SE_NFE_2017.pdf
rwe ag_sr_;2008;68;46;45;1;0;DE0007037129;2009-04-08;fehlt;33;2245;8077;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\RWE AG_SR_2008.pdf
rwe ag_sr_;2009;240;203;131;1;0;DE0007037129;2010-04-13;fehlt;104;8626;28611;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\RWE AG_SR_2009.pdf
rwe ag_sr_;2010;198;141;109;1;0;DE0007037129;2011-04-12;fehlt;72;6698;21695;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\RWE AG_SR_2010.pdf
rwe ag_sr_;2011;324;264;188;1;0;DE0007037129;2012-04-02;fehlt;143;7444;37730;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\RWE AG_SR_2011.pdf
rwe ag_sr_;2012;379;287;190;1;0;DE0007037129;2013-03-24;fehlt;157;7836;42174;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\RWE AG_SR_2012.pdf
rwe ag_sr_;2013;194;219;111;1;0;DE0007037129;2014-04-02;fehlt;84;6255;24542;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\RWE AG_SR_2013.pdf
rwe ag_sr_;2014;244;179;108;1;0;DE0007037129;2015-04-15;fehlt;97;5391;27024;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\RWE AG_SR_2014.pdf
rwe ag_sr_;2015;275;197;134;1;0;DE0007037129;2016-03-31;fehlt;106;5915;29898;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\RWE AG_SR_2015.pdf
rwe ag_sr_;2016;199;278;116;1;0;DE0007037129;2017-04-10;fehlt;79;6672;30365;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\RWE AG_SR_2016.pdf
rwe ag_sr_;2017;231;330;128;1;0;DE0007037129;2018-04-13;fehlt;96;7335;36447;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\RWE AG_SR_2017.pdf
rwe ag_sr_;2018;240;352;167;1;0;DE0007037129;2019-04-10;fehlt;101;8083;40989;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\RWE AG_SR_2018.pdf
salzgitter ag_nfe_;2017;114;59;46;1;1;DE0006202005;2018-03-13;fehlt;35;2227;12879;0;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Salzgitter AG_NFE_2017.pdf
salzgitter ag_nfe_;2018;121;73;52;1;1;DE0006202005;2019-03-12;fehlt;36;2139;13064;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Salzgitter AG_NFE_2018.pdf
schäffler ag_sr_;2016;283;124;87;1;0;fehlt;2017-05-10;fehlt;94;3110;25404;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Schäffler AG_SR_2016.pdf
schäffler ag_sr_;2017;272;138;128;1;0;fehlt;2018-06-01;fehlt;76;2743;26229;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Schäffler AG_SR_2017.pdf
schäffler ag_sr_;2018;264;126;89;1;0;fehlt;2019-08-20;fehlt;76;3286;24786;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Schäffler AG_SR_2018.pdf
scout24 ag_sr_;2018;111;144;94;1;0;DE000A12DM80;2019-03-22;fehlt;88;2212;18975;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Scout24 AG_SR_2018.pdf
siemens ag_sr_;2014;52;95;59;1;0;DE0007236101;2010-12-07;fehlt;29;1122;9510;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Siemens AG_SR_2014.pdf
siemens ag_sr_;2015;205;173;117;1;0;DE0007236101;2015-11-30;fehlt;47;1860;21615;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Siemens AG_SR_2015.pdf
sky dtld ag na_sr_;2016;159;50;22;1;0;fehlt;2016-09-27;fehlt;24;1336;9276;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\SKY DTLD AG NA_SR_2016.pdf
stroeer se_nfe_;2017;0;2;0;1;1;DE0007493991;2018-04-23;fehlt;17;1040;235;0;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Stroeer SE_NFE_2017.pdf
stroeer se_nfe_;2018;28;38;14;1;1;DE0007493991;2019-04-25;fehlt;17;1757;3813;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Stroeer SE_NFE_2018.pdf
suess_microtec_nfe_;2017;50;51;37;1;1;fehlt;2018-03-26;fehlt;9;401;4378;0;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Suess_Microtec_NFE_2017.pdf
suess_microtec_nfe_;2018;55;52;39;1;1;fehlt;2019-03-25;fehlt;8;885;4593;0;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Suess_Microtec_NFE_2018.pdf
symrise ag_nfe_;2017;62;60;37;1;1;DE000SYM9999;2018-03-12;fehlt;16;1460;6999;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Symrise AG_NFE_2017.pdf
symrise ag_nfe_;2018;94;35;36;1;1;DE000SYM9999;2019-11-18;fehlt;18;1506;7379;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Symrise AG_NFE_2018.pdf
symrise ag_sr_;2010;334;122;85;1;0;DE000SYM9999;2011-05-26;fehlt;51;5115;24108;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Symrise AG_SR_2010.pdf
telefonica dtld hldg ag_sr_;2010;105;77;50;1;0;DE000A1J5RX9;2016-08-09;fehlt;29;1865;15974;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Telefonica DTLD HLDG AG_SR_2010.pdf
telefonica dtld hldg ag_sr_;2015;217;137;83;1;0;DE000A1J5RX9;2016-06-28;fehlt;70;3303;30543;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Telefonica DTLD HLDG AG_SR_2015.pdf
telefonica dtld hldg ag_sr_;2016;277;157;81;1;0;DE000A1J5RX9;2017-05-16;fehlt;114;6694;66038;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Telefonica DTLD HLDG AG_SR_2016.pdf
telefonica dtld hldg ag_sr_;2017;393;186;112;1;0;DE000A1J5RX9;2018-04-30;fehlt;108;6893;36458;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Telefonica DTLD HLDG AG_SR_2017.pdf
tui ag_sr_;2015;256;76;40;1;0;DE000TUAG000;2016-07-06;fehlt;47;2026;15028;0;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\TUI AG_SR_2015.pdf
uniper se na_sr_;2016;50;45;32;1;0;DE000UNSE018;2017-06-12;fehlt;15;921;4753;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Uniper SE NA_SR_2016.pdf
utd.internet ag_sr_;2018;224;171;124;1;0;DE0005089031;2019-04-08;fehlt;112;3771;30043;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\UTD.Internet AG_SR_2018.pdf
verallia deutschland;2020;192;193;132;1;0;DE0006851603;2021-07-28;fehlt;41;2227;23044;0;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Verallia Deutschland2020_SR.pdf
volkswagen ag_sr_;2010;262;100;89;1;0;DE0007664039;2011-05-03;fehlt;79;3646;25403;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Volkswagen AG_SR_2010.pdf
volkswagen ag_sr_;2013;469;263;217;1;0;DE0007664039;2014-04-23;fehlt;151;7586;67241;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Volkswagen AG_SR_2013.pdf
volkswagen ag_sr_;2016;818;368;292;1;0;DE0007664039;2017-05-30;fehlt;192;7231;69384;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Volkswagen AG_SR_2016.pdf
volkswagen ag_sr_;2018;390;209;171;1;0;DE0007664039;2019-04-01;fehlt;109;5094;39834;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Volkswagen AG_SR_2018.pdf
wacker chemie_sr_;2014;425;250;148;1;0;DE000WACK012;2015-08-05;fehlt;215;6974;43457;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Wacker Chemie_SR_2014.pdf
wacker chemie_sr_;2016;292;210;117;1;0;DE000WACK012;2017-07-17;fehlt;118;5583;39398;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Wacker Chemie_SR_2016.pdf
wacker chemie_sr_;2018;394;296;173;1;0;DE000WACK012;2019-07-31;fehlt;156;14785;42382;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Wacker Chemie_SR_2018.pdf
wincor nixdorf_nfe_;2017;110;99;63;1;1;DE000A0CAYB2;2018-04-26;fehlt;36;1617;10066;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Wincor Nixdorf_NFE_2017.pdf
wincor nixdorf_nfe_;2018;4;21;8;1;1;DE000A0CAYB2;2019-03-27;fehlt;53;1824;7085;0;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Wincor Nixdorf_NFE_2018_mit PV.pdf
wincor nixdorf_sr_;2014;9;5;3;1;0;DE000A0CAYB2;2014-12-19;fehlt;47;2426;2834;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Wincor Nixdorf_SR_2014.pdf
wincor nixdorf_sr_;2016;218;161;143;1;0;DE000A0CAYB2;2017-03-07;fehlt;91;2160;22668;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\Wincor Nixdorf_SR_2016.pdf
zooplus;2020;45;71;57;1;1;DE0005111702;2021-09-08;fehlt;13;528;6229;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\2. Fehlende SRs 2008-2020\zooplus2020_NFB.pdf
